"商品","他品番","商品名1","商品名2","名カナ","基本サイズパターン","カラー","カラー備考","カラー削除区分","サイズ","サイズ備考","サイズ削除区分","JAN1コード","JAN2コード","副バーコード","SKU","仕入先","発注納期","受注納期","商品区分","名称入力区分","CS管理区分","削除区分","ロットNO管理区分","AEC連携対象フラグ","在庫管理区分","税率区分","原価洗替区分","移動平均計算区分","展開区分","原価単価取得区分","売上時原価引当区分","直送原価取得区分","手配区分","免税区分","商品分類1","商品分類2","商品分類3","商品分類4","商品分類5","商品分類6","商品分類7","商品分類8","商品分類9","商品分類10","商品分類11","商品分類12","商品分類13","商品分類14","商品分類15","商品分類16","商品分類17","商品分類18","商品分類19","商品分類20","単価採用区分","単位","入数","適用開始日","税抜販売単価","税込販売単価","税抜購買単価","税込購買単価","原価単価","税抜上代単価","税込上代単価","税抜参考上代単価","税込参考上代単価","SKU適用開始日","SKU税抜販売単価","SKU税込販売単価","SKU税抜購買単価","SKU税込購買単価","SKU原価単価","SKU税抜上代単価","SKU税込上代単価","SKU税抜参考上代単価","SKU税込参考上代単価","商品英名1","商品英名2","PO単位","数量配賦係数1","数量配賦係数2","金額配賦係数","部位1","素材1","混率1","部位2","素材2","混率2","部位3","素材3","混率3","部位4","素材4","混率4","部位5","素材5","混率5","部位6","素材6","混率6","部位7","素材7","混率7","部位8","素材8","混率8","部位9","素材9","混率9","部位10","素材10","混率10","適正在庫数","発注ロット","リードタイム","備考1","備考2","備考3","備考4","備考5","備考6","備考7","備考8","備考9","備考10","備考11","メモ","通貨コード","通貨名","関税率","ドレー代","ブランド費","ロス費","企画費","外貨単価","総平均単価"
"FA2071F","FA2071","ﾊｯﾋﾟｰﾂﾘｺﾐﾑｼﾞ","","","","11","","0","M","","0","","","","","411","","","0","1","0","0","0","0","0","1","1","0","0","2","0","2","0","0","2","001","2","","2026","000","2026","","122","","","","","","","","","","","","2","","30","20260417","232","","","","1124","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.034","42","0.00","0","","6.50",""
"FA2071F","FA2071","ﾊｯﾋﾟｰﾂﾘｺﾐﾑｼﾞ","","","","30","","0","M","","0","","","","","411","","","0","1","0","0","0","0","0","1","1","0","0","2","0","2","0","0","2","001","2","","2026","000","2026","","122","","","","","","","","","","","","2","","30","20260417","232","","","","1124","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.034","42","0.00","0","","6.50",""
"FA2071F","FA2071","ﾊｯﾋﾟｰﾂﾘｺﾐﾑｼﾞ","","","","31","","0","M","","0","","","","","411","","","0","1","0","0","0","0","0","1","1","0","0","2","0","2","0","0","2","001","2","","2026","000","2026","","122","","","","","","","","","","","","2","","30","20260417","232","","","","1124","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.034","42","0.00","0","","6.50",""
"FA2071F","FA2071","ﾊｯﾋﾟｰﾂﾘｺﾐﾑｼﾞ","","","","80","","0","M","","0","","","","","411","","","0","1","0","0","0","0","0","1","1","0","0","2","0","2","0","0","2","001","2","","2026","000","2026","","122","","","","","","","","","","","","2","","30","20260417","232","","","","1124","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.034","42","0.00","0","","6.50",""
"FA2071F","FA2071","ﾊｯﾋﾟｰﾂﾘｺﾐﾑｼﾞ","","","","90","","0","M","","0","","","","","411","","","0","1","0","0","0","0","0","1","1","0","0","2","0","2","0","0","2","001","2","","2026","000","2026","","122","","","","","","","","","","","","2","","30","20260417","232","","","","1124","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.034","42","0.00","0","","6.50",""
"FA2072F","FA2072","ﾊｯﾋﾟｰﾂﾘｺﾐﾎｿｽﾄﾗｲﾌﾟ","","","","11","","0","M","","0","","","","","411","","","0","1","0","0","0","0","0","1","1","0","0","2","0","2","0","0","2","001","2","","2026","000","2026","","122","","","","","","","","","","","","2","","30","20260417","232","","","","1124","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.034","42","0.00","0","","6.50",""
"FA2072F","FA2072","ﾊｯﾋﾟｰﾂﾘｺﾐﾎｿｽﾄﾗｲﾌﾟ","","","","73","","0","M","","0","","","","","411","","","0","1","0","0","0","0","0","1","1","0","0","2","0","2","0","0","2","001","2","","2026","000","2026","","122","","","","","","","","","","","","2","","30","20260417","232","","","","1124","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.034","42","0.00","0","","6.50",""
"FA2073F","FA2073","ﾊｯﾋﾟｰﾂﾘｺﾐﾌﾄｽﾄﾗｲﾌﾟ","","","","32","","0","M","","0","","","","","411","","","0","1","0","0","0","0","0","1","1","0","0","2","0","2","0","0","2","001","2","","2026","000","2026","","122","","","","","","","","","","","","2","","30","20260417","232","","","","1124","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.034","42","0.00","0","","6.50",""
"FA2073F","FA2073","ﾊｯﾋﾟｰﾂﾘｺﾐﾌﾄｽﾄﾗｲﾌﾟ","","","","90","","0","M","","0","","","","","411","","","0","1","0","0","0","0","0","1","1","0","0","2","0","2","0","0","2","001","2","","2026","000","2026","","122","","","","","","","","","","","","2","","30","20260417","232","","","","1124","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.034","42","0.00","0","","6.50",""
"FA2074F","FA2074","ﾊｯﾋﾟｰﾂﾘｺﾐﾎｿｽﾄﾗｲﾌﾟ","","","","80","","0","M","","0","","","","","411","","","0","1","0","0","0","0","0","1","1","0","0","2","0","2","0","0","2","001","2","","2026","000","2026","","130","","","","","","","","","","","","2","","30","20260417","232","","","","0","290","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.034","42","0.00","0","","0.00",""
