"品番","商品コード","商品年度","商品タイプコード","商品タイプ・名称","商品季節コード","商品季節・名称","連番","管理季節コード","管理季節コード・名称","商品名","商品群コード","商品群・名称","企画担当者コード","企画担当者・名称","仮番号","サンプル合格日","サンプル合格・有無","ブランドコード","ブランド・名称","版権","機能コード","機能・名称","入数１","入数２","入数３","入数４","入数５","ブランド費","ロス","甲生地番号","中板生地番号","甲表素材コード","甲表素材・名称","中板素材コード","中板素材・名称","底素材コード","底素材・名称","小売価格","納品価格","備考","画像有無","品番削除フラグ","登録者コード","登録者・名称","登録日時","更新者コード","更新者・名称","更新日時","ドレー代","企画費","仕入先コード","仕入先・名称","仮番単価","仮番単価受領日","見積単価","見積単価受領日","仕入単価","仕入単価決定日","仕入国コード","仕入区分","関税率","仮番原価","仮番利益率","見積原価","見積利益率","仕入原価","仕入利益率","仕入先削除フラグ","色コード（１）","色・名称（１）","色コード（２）","色・名称（２）","色コード（３）","色・名称（３）","色コード（４）","色・名称（４）","色コード（５）","色・名称（５）","色コード（６）","色・名称（６）","色コード（７）","色・名称（７）","色コード（８）","色・名称（８）","色コード（９）","色・名称（９）","色コード（１０）","色・名称（１０）","色コード（１１）","色・名称（１１）","色コード（１２）","色・名称（１２）","色コード（１３）","色・名称（１３）","色コード（１４）","色・名称（１４）","色コード（１５）","色・名称（１５）","色コード（１６）","色・名称（１６）","色コード（１７）","色・名称（１７）","色コード（１８）","色・名称（１８）","色コード（１９）","色・名称（１９）","色コード（２０）","色・名称（２０）","アソート／セット品番１","アソート／セット品番１数量","アソート／セット品番２","アソート／セット品番２数量","アソート／セット品番３","アソート／セット品番３数量","アソート／セット品番４","アソート／セット品番４数量","アソート／セット品番５","アソート／セット品番５数量","アソート／セット品番６","アソート／セット品番６数量","アソート／セット品番７","アソート／セット品番７数量","アソート／セット品番８","アソート／セット品番８数量","アソート／セット品番９","アソート／セット品番９数量","アソート／セット品番１０","アソート／セット品番１０数量","サイズコード（１）","サイズ・品番変換コード（１）","サイズ別仕入単価（１）","サイズコード（２）","サイズ・品番変換コード（２）","サイズ別仕入単価（２）","サイズコード（３）","サイズ・品番変換コード（３）","サイズ別仕入単価（３）","サイズコード（４）","サイズ・品番変換コード（４）","サイズ別仕入単価（４）","サイズコード（５）","サイズ・品番変換コード（５）","サイズ別仕入単価（５）","サイズコード（６）","サイズ・品番変換コード（６）","サイズ別仕入単価（６）","サイズコード（７）","サイズ・品番変換コード（７）","サイズ別仕入単価（７）","サイズコード（８）","サイズ・品番変換コード（８）","サイズ別仕入単価（８）","サイズコード（９）","サイズ・品番変換コード（９）","サイズ別仕入単価（９）","サイズコード（１０）","サイズ・品番変換コード（１０）","サイズ別仕入単価（１０）","サイズコード（１１）","サイズ・品番変換コード（１１）","サイズ別仕入単価（１１）","サイズコード（１２）","サイズ・品番変換コード（１２）","サイズ別仕入単価（１２）","サイズコード（１３）","サイズ・品番変換コード（１３）","サイズ別仕入単価（１３）","サイズコード（１４）","サイズ・品番変換コード（１４）","サイズ別仕入単価（１４）","サイズコード（１５）","サイズ・品番変換コード（１５）","サイズ別仕入単価（１５）","サイズコード（１６）","サイズ・品番変換コード（１６）","サイズ別仕入単価（１６）","サイズコード（１７）","サイズ・品番変換コード（１７）","サイズ別仕入単価（１７）","サイズコード（１８）","サイズ・品番変換コード（１８）","サイズ別仕入単価（１８）","サイズコード（１９）","サイズ・品番変換コード（１９）","サイズ別仕入単価（１９）","サイズコード（２０）","サイズ・品番変換コード（２０）","サイズ別仕入単価（２０）"
"FA2071F","FA2071","2026","001","吊込W底 婦人","002","春夏","71","002","春夏","ﾊｯﾋﾟｰﾂﾘｺﾐﾑｼﾞ","002","第2 ﾌﾟﾛﾊﾟｰ","122","石井祐子","WX-0101","2025/12/22","合","","","無","","","30","0","0","0","0","0.00","0","","","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","290","232","3/30センター　ポリエステル50％綿50％　※90BKは、廃色です","有","","122","石井祐子","2025/12/18","122","石井祐子","2025/12/23","42","5","411","南通藤東","","","","","6.50","2025/12/15","002","1","3.4","0","0","0","0","1125","-385","","011","ﾋﾟﾝｸ","030","ﾌﾞﾙｰ","031","ﾗｲﾄ・ﾌﾞﾙｰ","080","ｸﾞﾚｰ","090","ﾌﾞﾗｯｸ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","003","M","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA2072F","FA2072","2026","001","吊込W底 婦人","002","春夏","72","002","春夏","ﾊｯﾋﾟｰﾂﾘｺﾐﾎｿｽﾄﾗｲﾌﾟ","002","第2 ﾌﾟﾛﾊﾟｰ","122","石井祐子","WX-0102","2025/12/22","合","","","無","","","30","0","0","0","0","0.00","0","","","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","290","232","3/30センター　甲面：ポリエステル50％綿50％　中板：ポリ100％","有","","122","石井祐子","2025/12/18","122","石井祐子","2025/12/23","42","5","411","南通藤東","","","","","6.50","2025/12/15","002","1","3.4","0","0","0","0","1125","-385","","011","ﾋﾟﾝｸ","073","ｵﾚﾝｼﾞ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","003","M","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA2073F","FA2073","2026","001","吊込W底 婦人","002","春夏","73","002","春夏","ﾊｯﾋﾟｰﾂﾘｺﾐﾌﾄｽﾄﾗｲﾌﾟ","002","第2 ﾌﾟﾛﾊﾟｰ","122","石井祐子","WX-0103","2025/12/22","合","","","無","","","30","0","0","0","0","0.00","0","","","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","290","232","3/30センター　ポリエステル100％","有","","122","石井祐子","2025/12/18","122","石井祐子","2025/12/23","42","5","411","南通藤東","","","","","6.50","2025/12/15","002","1","3.4","0","0","0","0","1125","-385","","032","ﾀﾞｰｸ・ﾌﾞﾙｰ","090","ﾌﾞﾗｯｸ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","003","M","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA2074F","FA2074","2026","001","吊込W底 婦人","002","春夏","74","002","春夏","ﾊｯﾋﾟｰﾂﾘｺﾐﾎｿｽﾄﾗｲﾌﾟ","002","第2 ﾌﾟﾛﾊﾟｰ","130","杉浦万愉子","MX-0274","","未","","","無","","","30","0","0","0","0","0.00","0","","","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","290","232","甲面：ポリエステル50％綿50％　中板：ポリ100％","有","","130","杉浦万愉子","2025/12/26","130","杉浦万愉子","2025/12/26","42","5","411","南通藤東","","","","","","","002","1","3.4","0","0","0","0","0","0","","080","ｸﾞﾚｰ","090","ﾌﾞﾗｯｸ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","003","M","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA2075F","FA2075","2026","001","吊込W底 婦人","002","春夏","75","002","春夏","ﾊｯﾋﾟｰﾂﾘｺﾐチェック","002","第2 ﾌﾟﾛﾊﾟｰ","130","杉浦万愉子","MX-0275","","未","","","無","","","30","0","0","0","0","0.00","0","","","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","290","232","甲面：ポリエステル50％綿50％　中板：ポリ100％","有","","130","杉浦万愉子","2025/12/26","130","杉浦万愉子","2025/12/26","42","5","411","南通藤東","","","","","","","002","1","3.4","0","0","0","0","0","0","","010","ﾚｯﾄﾞ","030","ﾌﾞﾙｰ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","003","M","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA2076F","FA2076","2026","001","吊込W底 婦人","002","春夏","76","002","春夏","ﾊｯﾋﾟｰﾂﾘｺﾐﾑｼﾞ","002","第2 ﾌﾟﾛﾊﾟｰ","130","杉浦万愉子","MX-0276","","未","","","無","","","30","0","0","0","0","0.00","0","","","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","290","232","甲面/中板：ポリエステル50％綿50％","有","","130","杉浦万愉子","2025/12/26","130","杉浦万愉子","2025/12/26","42","5","411","南通藤東","","","","","","","002","1","3.4","0","0","0","0","0","0","","030","ﾌﾞﾙｰ","040","ﾌﾞﾗｳﾝ","050","ﾊﾟｰﾌﾟﾙ","080","ｸﾞﾚｰ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","003","M","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA2077V","FA2077","2026","001","吊込W底 婦人","002","春夏","77","002","春夏","ﾊｯﾋﾟｰﾂﾘｺﾐﾀｰﾀﾝﾁｪｯｸ","002","第2 ﾌﾟﾛﾊﾟｰ","122","石井祐子","WX-0111","2026/01/22","合","","","無","","","30","0","0","0","0","0.00","0","","","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","290","232","5/8センター","有","","122","石井祐子","2026/01/07","122","石井祐子","2026/01/22","42","5","437","新南通本州","","","","","","","002","1","3.4","0","0","0","0","0","0","","020","ｸﾞﾘｰﾝ","030","ﾌﾞﾙｰ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","003","M","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA2078V","FA2078","2026","001","吊込W底 婦人","002","春夏","78","002","春夏","ﾊｯﾋﾟｰﾂﾘｺﾐｷﾞﾝｶﾞﾑﾁｪｯｸ","002","第2 ﾌﾟﾛﾊﾟｰ","122","石井祐子","WX-0112","2026/01/22","合","","","無","","","30","0","0","0","0","0.00","0","","","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","290","232","5/8センター","有","","122","石井祐子","2026/01/07","122","石井祐子","2026/01/22","42","5","437","新南通本州","","","","","","","002","1","3.4","0","0","0","0","0","0","","010","ﾚｯﾄﾞ","040","ﾌﾞﾗｳﾝ","062","ﾍﾞｰｼﾞｭ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","003","M","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA2079V","FA2079","2026","001","吊込W底 婦人","002","春夏","79","002","春夏","ﾊｯﾋﾟｰﾂﾘｺﾐｷﾞﾝｶﾞﾑﾁｪｯｸ","002","第2 ﾌﾟﾛﾊﾟｰ","122","石井祐子","WX-0113","2026/01/22","合","","","無","","","30","0","0","0","0","0.00","0","","","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","290","232","5/8センター","有","","122","石井祐子","2026/01/07","122","石井祐子","2026/01/22","42","5","437","新南通本州","","","","","","","002","1","3.4","0","0","0","0","0","0","","010","ﾚｯﾄﾞ","022","ﾀﾞｰｸ・ｸﾞﾘｰﾝ","040","ﾌﾞﾗｳﾝ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","003","M","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA2080W","FA2080","2026","001","吊込W底 婦人","002","春夏","80","002","春夏","ﾊｯﾋﾟｰﾂﾘｺﾐﾑｼﾞ","002","第2 ﾌﾟﾛﾊﾟｰ","122","石井祐子","WX-0114","2026/01/19","合","","","無","","","30","0","0","0","0","0.00","0","","","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","004","ﾎﾟﾘｴｽﾃﾙ","290","232","4/24センター","有","","122","石井祐子","2026/01/14","122","石井祐子","2026/01/19","45","5","105","金森","","","","","","","002","1","3.4","0","0","0","0","0","0","","032","ﾀﾞｰｸ・ﾌﾞﾙｰ","040","ﾌﾞﾗｳﾝ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","003","M","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
