"発注日付","指定納期","担当者コード","仕入先コード","仕入先略称","納品先コード","納品先略称","入庫倉庫コード","相手先NO","取引区分コード","商品コード","ロットNO","通貨コード","通貨名","レート","有効期限","備考1","備考2","備考3","商品名1","商品名2","CS1コード","CS2コード","PLUコード","入数","CT数","税抜上代単価","発注数量","発注単価","発注金額","外貨単価","外貨金額","明細備考1","明細備考2","明細メモ","注文NO","伝票備考","伝票備考2","伝票備考3","伝票備考4","伝票メモ","拡張項目1","拡張項目2","拡張項目3","拡張項目4","拡張項目5"
"2026/01/09","2026/02/19","","437","新南通本州","","","017","S3781","01","FD2402V","","CNY","","22.70","","","","","ｾﾞﾌﾞﾗｶﾞﾗｸﾛｽﾊﾞﾝﾄﾞP","","11","M","","25","","","350","12.90","","12.90","","","","","","","","","26-00009","","","","","",""
"2026/01/09","2026/02/19","","437","新南通本州","","","017","S3781","01","FD2403V","","CNY","","22.70","","","","","ﾋｮｳｶﾞﾗｸﾛｽﾊﾞﾝﾄﾞBR","","40","M","","25","","","350","12.90","","12.90","","","","","","","","","26-00009","","","","","",""
"2026/01/09","2026/02/19","","437","新南通本州","","","017","S3781","01","FD2404V","","CNY","","22.70","","","","","ﾋｮｳｶﾞﾗｸﾛｽﾊﾞﾝﾄﾞGR","","80","M","","25","","","350","12.90","","12.90","","","","","","","","","26-00009","","","","","",""
"2026/01/09","2026/02/19","","437","新南通本州","","","017","S3781","01","FD2405V","","CNY","","22.70","","","","","ﾋｮｳｶﾞﾗｸﾛｽﾊﾞﾝﾄﾞBK","","90","M","","25","","","350","12.90","","12.90","","","","","","","","","26-00009","","","","","",""
"2026/01/15","2026/03/19","","434","南通愛軒","","","017","S3785","01","CT2058A","","CNY","","22.70","","","","","KAﾊﾟﾝﾄﾞﾛﾎﾞｳ　ｽﾄﾗｲﾌﾟｴﾌﾟﾛﾝ","","30","M-L","","50","","","200","34.50","","34.50","","","","","","","","","26-00016","","","","","",""
"2026/01/15","2026/03/19","","434","南通愛軒","","","017","S3785","01","CT2058A","","CNY","","22.70","","","","","KAﾊﾟﾝﾄﾞﾛﾎﾞｳ　ｽﾄﾗｲﾌﾟｴﾌﾟﾛﾝ","","30","LL3L","","50","","","100","34.50","","34.50","","","","","","","","","26-00016","","","","","",""
"2026/01/15","2026/03/19","","434","南通愛軒","","","017","S3785","01","CT3008A","","CNY","","22.70","","","","","KA ﾊﾟﾝﾄﾞﾛﾎﾞｳ総柄","","40","M-L","","50","","","150","51.00","","51.00","","","","","","","","","26-00016","","","","","",""
"2026/01/15","2026/03/19","","434","南通愛軒","","","017","S3785","01","CT3008A","","CNY","","22.70","","","","","KA ﾊﾟﾝﾄﾞﾛﾎﾞｳ総柄","","40","LL3L","","50","","","100","51.00","","51.00","","","","","","","","","26-00016","","","","","",""
"2026/01/22","2026/04/10","","437","新南通本州","","","010","S3798","01","FE2098V","","CNY","","22.70","","","","","ﾁｪｯｸｶﾞﾗ ﾈｰﾑ　竹","","40","M","","25","","","600","0.00","","0.00","","","","","","","","","26-00029","","","","","",""
"2026/01/22","2026/04/10","","437","新南通本州","","","010","S3798","01","FE2098V","","CNY","","22.70","","","","","ﾁｪｯｸｶﾞﾗ ﾈｰﾑ　竹","","40","L","","25","","","600","0.00","","0.00","","","","","","","","","26-00029","","","","","",""
"2026/01/22","2026/04/10","","437","新南通本州","","","010","S3798","01","FE2098V","","CNY","","22.70","","","","","ﾁｪｯｸｶﾞﾗ ﾈｰﾑ　竹","","80","M","","25","","","500","0.00","","0.00","","","","","","","","","26-00029","","","","","",""
"2026/01/22","2026/04/10","","437","新南通本州","","","010","S3798","01","FE2098V","","CNY","","22.70","","","","","ﾁｪｯｸｶﾞﾗ ﾈｰﾑ　竹","","80","L","","25","","","300","0.00","","0.00","","","","","","","","","26-00029","","","","","",""
"2026/01/22","2026/04/10","","437","新南通本州","","","010","S3798","01","FE2099V","","CNY","","22.70","","","","","ｷｶｶﾞｸｶﾞﾗ ﾈｰﾑ　竹","","32","M","","25","","","550","0.00","","0.00","","","","","","","","","26-00029","","","","","",""
"2026/01/22","2026/04/10","","437","新南通本州","","","010","S3798","01","FE2099V","","CNY","","22.70","","","","","ｷｶｶﾞｸｶﾞﾗ ﾈｰﾑ　竹","","32","L","","25","","","650","0.00","","0.00","","","","","","","","","26-00029","","","","","",""
"2026/01/22","2026/04/10","","437","新南通本州","","","010","S3798","01","FE2099V","","CNY","","22.70","","","","","ｷｶｶﾞｸｶﾞﾗ ﾈｰﾑ　竹","","62","M","","25","","","450","0.00","","0.00","","","","","","","","","26-00029","","","","","",""
"2026/01/22","2026/04/10","","437","新南通本州","","","010","S3798","01","FE2099V","","CNY","","22.70","","","","","ｷｶｶﾞｸｶﾞﾗ ﾈｰﾑ　竹","","62","L","","25","","","350","0.00","","0.00","","","","","","","","","26-00029","","","","","",""
"2026/02/12","2026/04/24","","434","南通愛軒","","","017","S3824","01","CT2058A","","CNY","","22.70","","","","","KAﾊﾟﾝﾄﾞﾛﾎﾞｳ　ｽﾄﾗｲﾌﾟｴﾌﾟﾛﾝ","","30","M-L","","50","","","300","34.50","","34.50","","","","","","","","","26-00055","","","","","",""
"2026/02/24","2026/04/22","","411","南通藤東","","","017","S3825","01","FA2520F","","CNY","","22.70","","","","","DS ｽﾞｰﾄﾋﾟｱﾄｲﾚｽﾘｯﾊﾟG","","20","L","","20","","","500","17.60","","17.60","","","","","","","","","26-00057","","","","","",""
"2026/02/24","2026/04/22","","411","南通藤東","","","017","S3825","01","FA2521F","","CNY","","22.70","","","","","DS ｽﾞｰﾄﾋﾟｱﾄｲﾚｽﾘｯﾊﾟB","","30","L","","20","","","500","17.60","","17.60","","","","","","","","","26-00057","","","","","",""
"2026/02/26","2026/07/20","","437","新南通本州","","","007","S3833","01","FH2153V","","CNY","","22.70","","","","","3Eｱｰﾁﾊﾟﾝﾀﾊﾟﾝﾀﾞ","","60","M","","0","","","1450","0.00","","0.00","","","","","","","","","26-00064","","","","","",""
"2026/02/26","2026/07/20","","437","新南通本州","","","007","S3833","01","FH2154V","","CNY","","22.70","","","","","ﾂﾎﾞｵｼﾈｺｶｵ","","80","M","","0","","","1450","0.00","","0.00","","","","","","","","","26-00064","","","","","",""
"2026/02/26","2026/07/20","","437","新南通本州","","","007","S3833","01","FH2157V","","CNY","","22.70","","","","","3Eｱｰﾁﾊﾟﾝﾀﾑｼﾞ","","90","M","","0","","","1450","0.00","","0.00","","","","","","","","","26-00064","","","","","",""
"2026/02/26","2026/07/21","","437","新南通本州","","","017","S3834","01","FH2153V","","CNY","","22.70","","","","","3Eｱｰﾁﾊﾟﾝﾀﾊﾟﾝﾀﾞ","","60","M","","0","","","1050","0.00","","0.00","","","","","","","","","26-00065","","","","","",""
"2026/02/26","2026/07/21","","437","新南通本州","","","017","S3834","01","FH2154V","","CNY","","22.70","","","","","ﾂﾎﾞｵｼﾈｺｶｵ","","80","M","","0","","","1050","0.00","","0.00","","","","","","","","","26-00065","","","","","",""
"2026/02/26","2026/05/21","","437","新南通本州","","","007","","01","FD2442V","","CNY","","22.70","","","","","ﾚｲｶﾝﾍﾟﾝｷﾞﾝｱｲｽ","","30","M","","20","","","200","0.00","","0.00","","","","","","","","","26-00068","","","","","",""
"2026/02/26","2026/05/21","","437","新南通本州","","","007","","01","FD2443V","","CNY","","22.70","","","","","ﾚｲｶﾝﾒﾝﾀﾞｺｻｶﾅ","","32","M","","20","","","200","0.00","","0.00","","","","","","","","","26-00068","","","","","",""
"2026/02/26","2026/05/21","","437","新南通本州","","","007","","01","FD2444V","","CNY","","22.70","","","","","ﾚｲｶﾝKTｸﾗｹﾞ","","31","M","","20","","","200","0.00","","0.00","","","","","","","","","26-00068","","","","","",""
"2026/02/26","2026/05/21","","437","新南通本州","","","007","","01","FD2445V","","CNY","","22.70","","","","","ﾚｲｶﾝKTｶﾆ","","73","M","","20","","","200","0.00","","0.00","","","","","","","","","26-00068","","","","","",""
"2026/02/26","2026/05/21","","437","新南通本州","","","007","","01","FD2450V","","CNY","","22.70","","","","","ﾚｲｶﾝｶｷｺﾞｵﾘ総柄","","50","M","","20","","","200","0.00","","0.00","","","","","","","","","26-00068","","","","","",""
"2026/02/26","2026/05/21","","437","新南通本州","","","007","","01","FD2451V","","CNY","","22.70","","","","","ﾚｲｶﾝ夏野菜総柄","","31","M","","20","","","200","0.00","","0.00","","","","","","","","","26-00068","","","","","",""
